Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 15:24:4
frame,cam_timestamp,green_x,green_y,red_x,red_y
279,95605918350300,358.833,178.667,334.2,149.2
280,95605950542292,364,174.6,339.714,144
281,95605982011062,375.286,166.357,351.429,135.429
282,95606012559618,380.182,162.636,357,131.167
283,95606028171639,386.182,158.455,362.5,127
284,95606044547220,390.286,155.286,367.5,123
285,95606059283226,396.231,150.231,373,118.833
286,95606075789676,401.5,148,378,115.5
287,95606090032824,404.643,144.714,383,112.5
288,95606107263144,407,142,387.5,109.5
289,95606121978279,413,138.4,392,106.833
290,95606137914516,417,136.538,396,104.167
291,95606152967961,420.846,134.538,400.2,101.6
292,95606169882597,424.308,132.462,403.8,99.4
293,95606199400860,428.231,130.385,407.8,97.4
294,95606216054703,431,128.545,411.2,95.6
295,95606231398911,434.778,126.667,414.8,93.4
296,95606247451140,438,126,418.2,91.6
297,95606262135441,440,126,421.2,89.6
298,95606277824223,442.286,122.357,424,88.5
299,95606310333681,446,122,427.2,86.6
300,95606325399492,447.5,120.5,430.5,85.5
301,95606341914690,450.556,118.889,432.5,84.5
302,95606356628529,454,117.5,435.333,83.3333
303,95606372125800,454.545,116.818,437.75,82
304,95606388638433,458,115.5,440.333,80.6667
305,95606404122582,458.083,114.667,442.667,79.3333
306,95606419097079,0,0,443.667,78.3333
307,95606436189375,461.333,112.333,445.667,76.3333
308,95606465893857,464,111.5,447.333,75.6667
309,95606497369269,464.429,109.857,450,73
310,95606512520130,465.5,108.5,451.333,72.6667
311,95606528540958,466,110,452,71
312,95606544867426,466.429,107.857,452.5,71.5
313,95606559549486,466.75,107.25,453.333,70.6667
314,95606590078413,466.667,106.667,453.5,70.5
315,95606606732310,467.333,106.667,453.667,70.3333
316,95606622393633,466.615,106.385,453.667,70.3333
317,95606636820975,466.545,106.364,453.667,70.3333
318,95606652676185,466,106.5,453.5,70.5
319,95606668436625,465.5,106.5,453,70.5
320,95606684227845,466,107.5,452.333,70.6667
321,95606715584781,466,107.5,451.5,71.5
